epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1675.86,1.4771,1.78268,1.65125,0.36347,0.09551,0.07859,0.03169,2.25041,3.2262,2.76948,0.003169,0.003169,0.003169
71,1700.43,1.47154,1.79279,1.66147,0.35226,0.10897,0.0546,0.02318,2.19175,3.47927,2.76842,0.00307,0.00307,0.00307
72,1724.95,1.48673,1.7961,1.67496,0.36369,0.08526,0.06868,0.03028,2.2021,3.24904,2.68789,0.002971,0.002971,0.002971
73,1749.41,1.47584,1.76046,1.65904,0.33911,0.13269,0.08153,0.03128,2.18078,3.10689,2.6461,0.002872,0.002872,0.002872
74,1773.31,1.4719,1.7496,1.64833,0.33304,0.12285,0.07245,0.02915,2.14861,3.23218,2.61903,0.002773,0.002773,0.002773
75,1797.36,1.46653,1.77037,1.63807,0.08508,0.1,0.06629,0.0271,2.10813,3.2936,2.54597,0.002674,0.002674,0.002674
76,1822.05,1.44846,1.72248,1.62496,0.11191,0.11574,0.08055,0.03169,2.25347,3.30462,2.78666,0.002575,0.002575,0.002575
77,1846.22,1.43189,1.69429,1.6056,0.35766,0.10985,0.08617,0.03348,2.1126,3.16758,2.56727,0.002476,0.002476,0.002476
78,1870.17,1.42931,1.68242,1.62206,0.36211,0.09167,0.07983,0.03764,2.09333,3.20191,2.56876,0.002377,0.002377,0.002377
79,1893.99,1.43903,1.71784,1.63323,0.38315,0.10721,0.08355,0.03141,2.17062,3.19575,2.64279,0.002278,0.002278,0.002278
80,1917.9,1.41832,1.68151,1.60746,0.09482,0.11468,0.07475,0.02849,2.09839,3.09887,2.61016,0.002179,0.002179,0.002179
81,1942.29,1.40986,1.66941,1.60182,0.1031,0.12212,0.07257,0.03043,2.0782,3.31585,2.57023,0.00208,0.00208,0.00208
82,1967.05,1.41849,1.63758,1.59519,0.33745,0.11474,0.08182,0.03719,2.12177,3.02694,2.58334,0.001981,0.001981,0.001981
83,1991.2,1.40817,1.68566,1.61809,0.36479,0.13969,0.08884,0.03567,2.13119,3.12171,2.67793,0.001882,0.001882,0.001882
84,2016.27,1.40523,1.66151,1.58297,0.08729,0.11667,0.07438,0.03237,2.12978,3.14206,2.61927,0.001783,0.001783,0.001783
85,2040.78,1.41232,1.62534,1.59144,0.14804,0.12821,0.09103,0.0374,2.1679,3.0997,2.59506,0.001684,0.001684,0.001684
86,2065.49,1.39147,1.60585,1.58687,0.34744,0.11912,0.09287,0.04041,2.10684,3.07184,2.5609,0.001585,0.001585,0.001585
87,2091.37,1.39701,1.62889,1.57731,0.08286,0.11603,0.08246,0.03591,2.12068,3.15052,2.58601,0.001486,0.001486,0.001486
88,2117.45,1.39615,1.58642,1.57047,0.40671,0.09231,0.09055,0.03802,2.10855,3.17867,2.58227,0.001387,0.001387,0.001387
89,2142.42,1.38872,1.61703,1.58433,0.09388,0.16282,0.09063,0.03458,2.10839,3.12095,2.60713,0.001288,0.001288,0.001288
90,2167.03,1.37457,1.57034,1.56174,0.35831,0.12628,0.08661,0.03413,2.15254,3.18707,2.64994,0.001189,0.001189,0.001189
91,2204.77,1.35857,1.40663,1.60006,0.1037,0.15962,0.08054,0.03635,2.15367,3.13509,2.65943,0.00109,0.00109,0.00109
92,2228.7,1.32417,1.33942,1.57261,0.11784,0.17564,0.09888,0.03864,2.10436,2.95809,2.56169,0.000991,0.000991,0.000991
93,2252.44,1.28785,1.27738,1.55303,0.12016,0.14744,0.0944,0.04038,2.13754,2.9786,2.64458,0.000892,0.000892,0.000892
94,2276.44,1.3095,1.27383,1.56745,0.35916,0.17051,0.09757,0.04434,2.08673,2.93674,2.54987,0.000793,0.000793,0.000793
95,2301.11,1.2821,1.23877,1.55093,0.09604,0.15385,0.09697,0.0377,2.17192,3.01063,2.69564,0.000694,0.000694,0.000694
96,2325.1,1.27163,1.23811,1.54537,0.37523,0.16731,0.09798,0.03883,2.17081,2.91415,2.693,0.000595,0.000595,0.000595
97,2349.7,1.26035,1.2232,1.53776,0.11573,0.17051,0.10815,0.04782,2.11418,2.91285,2.59668,0.000496,0.000496,0.000496
98,2373.48,1.26414,1.2071,1.53583,0.11097,0.17564,0.09462,0.04172,2.11606,2.96949,2.59637,0.000397,0.000397,0.000397
99,2397.25,1.2277,1.18465,1.50011,0.36272,0.16083,0.09873,0.04098,2.09535,2.97586,2.59988,0.000298,0.000298,0.000298
100,2421.77,1.2415,1.19528,1.51645,0.10785,0.14041,0.09605,0.04094,2.13503,2.92093,2.63396,0.000199,0.000199,0.000199
